num_joins,num_where,has_order_by,has_group_by,query_length,rows_examined,using_filesort,using_temporary,index_count,buffer_pool_hit_ratio,connections_count,hour_of_day,day_of_week,access_type,is_slow,execution_time
0,1,0,0,199,300012,0,0,0.0,0.9935,2,1,5,UNKNOWN,1,2.83811
0,0,1,1,567,300028,0,0,0.0,0.9935,2,1,5,UNKNOWN,1,1.03234
8,1,1,1,872,35078,0,0,0.0,0.9935,2,1,5,UNKNOWN,1,4.97554
2,7,1,0,634,97392,0,0,0.0,0.9935,2,1,5,UNKNOWN,1,7.58915
6,0,1,1,1544,121900,0,0,0.0,0.9935,2,1,5,UNKNOWN,1,7.44384
4,7,1,0,1580,4335,0,0,0.0,0.9935,2,1,5,UNKNOWN,1,5.21329
0,2,0,0,101,300013,0,0,0.0,0.9938,2,22,5,UNKNOWN,1,1.70517
0,0,0,1,100,900032,0,0,0.0,0.9938,2,22,5,UNKNOWN,1,3.39673
0,1,0,0,114,300012,0,0,0.0,0.9942,2,22,5,UNKNOWN,1,1.12547
1,1,0,0,140,3712174,0,0,0.0,0.9942,2,22,5,UNKNOWN,1,3.23583
0,1,0,0,48,300012,0,0,0.0,0.9945,2,22,5,UNKNOWN,1,1.28348
0,1,0,0,83,300012,0,0,0.0,0.9945,2,22,5,UNKNOWN,1,1.49444
0,2,0,0,96,300027,0,0,0.0,0.9945,2,22,5,UNKNOWN,1,1.76672
0,2,0,0,103,300013,0,0,0.0,0.9945,2,22,5,UNKNOWN,1,1.38106
0,1,0,0,93,300012,0,0,0.0,0.9945,2,22,5,UNKNOWN,1,1.39384
0,2,0,0,110,300013,0,0,0.0,0.9875,2,22,5,UNKNOWN,1,1.31838
0,2,0,0,126,300013,0,0,0.0,0.9875,2,22,5,UNKNOWN,1,1.7045
4,0,0,1,325,22058,0,0,0.0,0.9875,2,22,5,UNKNOWN,1,4.7352
2,0,0,1,282,16545,0,0,0.0,0.9875,2,22,5,UNKNOWN,1,1.80243
0,1,1,0,117,900036,0,0,0.0,0.9875,2,22,5,UNKNOWN,1,1.91929
0,0,1,0,147,900036,0,0,0.0,0.9875,2,22,5,UNKNOWN,1,3.22084
0,0,1,0,97,900036,0,0,0.0,0.9877,2,22,5,UNKNOWN,1,2.45141
0,0,1,0,109,600024,0,0,0.0,0.9877,2,22,5,UNKNOWN,1,2.54806
0,0,1,0,150,600024,0,0,0.0,0.9877,2,22,5,UNKNOWN,1,4.07708
0,0,1,0,150,900036,0,0,0.0,0.9877,2,22,5,UNKNOWN,1,2.86547
0,0,1,0,162,300012,0,0,0.0,0.9877,2,22,5,UNKNOWN,1,1.572
0,0,1,0,164,900036,0,0,0.0,0.9877,2,22,5,UNKNOWN,1,2.34979
0,0,1,0,159,900036,0,0,0.0,0.9881,2,22,5,UNKNOWN,1,4.31454
0,0,1,0,164,900036,0,0,0.0,0.9881,2,22,5,UNKNOWN,1,3.83256
3,0,1,1,318,13311,0,0,0.0,0.9881,2,22,5,UNKNOWN,1,27.1474
0,0,1,0,213,900036,0,0,0.0,0.9881,2,22,5,UNKNOWN,1,4.22139
0,0,0,0,351,300012,0,0,0.0,0.9858,2,23,5,UNKNOWN,1,1.57048
0,0,0,0,345,300012,0,0,0.0,0.9858,2,23,5,UNKNOWN,1,1.78692
0,0,0,0,379,300012,0,0,0.0,0.9858,2,23,5,UNKNOWN,1,1.50205
0,0,0,0,371,300012,0,0,0.0,0.9858,2,23,5,UNKNOWN,1,1.97653
0,0,0,0,361,300012,0,0,0.0,0.9858,2,23,5,UNKNOWN,1,1.46364
0,0,0,0,222,300012,0,0,0.0,0.9858,2,23,5,UNKNOWN,1,1.26048
0,0,0,0,118,300012,0,0,0.0,0.9858,2,23,5,UNKNOWN,1,1.49431
0,0,0,0,311,300012,0,0,0.0,0.9858,2,23,5,UNKNOWN,1,1.27361
0,0,0,0,286,300012,0,0,0.0,0.9858,2,23,5,UNKNOWN,1,2.39287
0,0,0,0,267,300012,0,0,0.0,0.9858,2,23,5,UNKNOWN,1,2.68483
0,0,0,0,242,300012,0,0,0.0,0.9858,2,23,5,UNKNOWN,1,1.48059
0,0,0,0,204,300012,0,0,0.0,0.9858,2,23,5,UNKNOWN,1,1.85985
0,0,0,0,202,300012,0,0,0.0,0.9858,2,23,5,UNKNOWN,1,2.14616
0,0,0,0,265,300012,0,0,0.0,0.9858,2,23,5,UNKNOWN,1,2.26604
0,0,0,0,192,300012,0,0,0.0,0.9858,2,23,5,UNKNOWN,1,1.93089
0,0,0,0,179,300012,0,0,0.0,0.9858,2,23,5,UNKNOWN,1,1.44352
0,0,0,0,196,300012,0,0,0.0,0.9914,2,23,5,UNKNOWN,1,1.23646
